id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
31168	489	GF03009543S	topsoil	29.23	104.9	Asia	2015	2015	cropland	ITS3/ITS4	18.2	1047	6.6	10.2	40415	0	15
31170	489	GF03009539S	topsoil	30.87	106.05	Asia	2015	2015	cropland	ITS3/ITS4	18.1	1008	6.8	10.5	17320	0	4
31172	50	GF05025912S	soil	47.05	7.48	Europe	2014	2014	cropland	ITS3/ITS4	9.8	1101	6	11	20099	0	35
31179	489	GF03009545S	rhizosphere soil	28.2	113.09	Asia	2015	2015	cropland	ITS3/ITS4	18.4	1373	6.1	15.6	22001	0	3
31188	499	GF03009193S	soil	43.3167	124.233	Asia	2017	2017	cropland	ITS86F/ITS4	7	569	7.7	3.9	53244	0	240
31198	362	GF04018667S	root	33.7428	-117.705	North America	2015	2015	shrubland	5.8S_Fun/ITS4_Fun	17.7	367	6.7	3.3	73349	1	9
31220	261	GF05006565S	soil	35.3832	-78.0389	North America	2016	2016	cropland	ITS1F_KYO2/ITS2_KYO2	16.7	1192	5.4	7.4	316094	0	29
31225	181	GF05014463S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	54466	0	3
31227	362	GF04018687S	root	33.7428	-117.705	North America	2015	2015	shrubland	5.8S_Fun/ITS4_Fun	17.7	367	6.7	3.3	49671	1	155
31261	362	GF04018700S	root	33.7428	-117.705	North America	2015	2015	shrubland	5.8S_Fun/ITS4_Fun	17.7	367	6.7	3.3	58845	1	1
31318	423	GF04004722S	soil	28.3612	116.97	Asia	2017	2017	cropland	ITS1F/ITS2	19.1	1732	5.8	14.2	66692	0	15
31320	73	GF05023652S	rhizosphere soil	44.3617	89.0889	Asia	2017	2017	cropland	ITS5/ITS2	8.9	179	8.2	0.6	68180	0	2
31390	262	GF05006226S	soil	37.7641	-25.5071	Europe	2017	2017	grassland	ITS3ngs1 to 5 + ITS3ngs10/ITS4ngs	14	1383	6.1	12.7	67361	0	27
31425	323	GF05000739S	rhizosphere soil	29.06	121.68	Asia	2016	2016	grassland	ITS3/ITS4	18	1509	NA	NA	7128	0	1
31521	181	GF05014456S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	33849	0	4
31522	181	GF05014588S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	51430	0	10
31523	181	GF05014411S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	25370	0	6
31527	181	GF05014493S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	44754	0	24
31575	140	GF05017954S	shoot	21.3534	-157.789	North America	2011	2011	woodland	ITS1F/ITS2	20.2	1173	5	13.1	104944	0	1
31615	1	GF05031684S	soil	44.7162	11.6503	Europe	2018	2018	cropland	ITS9MUNngs/ITS4ngsUni	14.7	682	7.7	5.1	3831	0	1
31634	489	GF03009546S	topsoil	35.01	113.69	Asia	2015	2015	cropland	ITS3/ITS4	15.1	588	8.2	6.3	30915	0	10
31648	50	GF05025982S	soil	47.05	7.48	Europe	2012	2012	cropland	ITS3/ITS4	9.8	1101	6	11	17840	0	2
31649	489	GF03009547S	topsoil	42.3	118.92	Asia	2015	2015	cropland	ITS3/ITS4	7.6	341	8.7	1.5	31826	0	3
31651	499	GF03009168S	soil	43.3167	124.233	Asia	2017	2017	cropland	ITS86F/ITS4	7	569	7.7	3.9	74573	0	1
31670	160	GF05016081S	rhizosphere soil	25.7886	112.621	Asia	2016	2016	cropland	5.8S_Fun/ITS4_Fun	19	1533	6.4	12.6	33868	0	6
31672	489	GF03009548S	topsoil	31.8	117.83	Asia	2015	2015	cropland	ITS3/ITS4	16.1	979	6.6	8.1	23948	0	4
31686	835	GF01002432S	soil	-37.8409	142.088	Australia	2012	2012	grassland	ITS1F/ITS4	13.2	694	5.9	5.9	49203	0	16
31694	684	GF01016228S	soil	43.5872	93.0539	Asia	2015	2015	grassland	ITS3_KYO2/ITS4	3.7	221	8.2	0.2	5608	0	3
31727	194	GF05013011S	soil	-3.0753	35.355	Africa	2018	2018	grassland	ITS9MUNngs/ITS4ngsUni	20.5	818	7.5	1.6	12374	0	4
31735	489	GF03009566S	rhizosphere soil	26.65	106.63	Asia	2015	2015	cropland	ITS3/ITS4	14.7	1252	6.1	12.6	54439	0	1
31758	181	GF05014429S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	42390	0	1
31759	181	GF05014426S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	50801	0	7
31762	439	GF04003398S	soil	29.72	113.2	Asia	2017	2017	cropland	ITS5/ITS2	17.7	1318	6.7	14.7	62787	0	31
31772	323	GF05000733S	rhizosphere soil	29.06	121.68	Asia	2016	2016	grassland	ITS3/ITS4	18	1509	NA	NA	6708	0	5
31773	323	GF05000729S	rhizosphere soil	29.06	121.68	Asia	2016	2016	grassland	ITS3/ITS4	18	1509	NA	NA	12104	0	18
31853	684	GF01016227S	soil	43.5765	93.2917	Asia	2015	2015	grassland	ITS3_KYO2/ITS4	3.6	206	8.1	3.2	5723	0	2
31870	181	GF05014468S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	45213	0	1
31880	1	GF05031974S	soil	44.6589	3.02948	Europe	2018	2018	grassland	ITS9MUNngs/ITS4ngsUni	7.2	1066	6.3	14	13304	0	1
31885	731	GF01011131S	root + rhizosphere soil	48.5094	13.4478	Europe	2014	2014	grassland	fITS9/ITS4	9.2	859	6.1	16.1	18179	0	461
31892	491	GF03009474S	soil	36.2753	106.391	Asia	2017	2017	grassland	ITS5/ITS2	5.9	516	8.1	5.5	88260	0	104
31969	819	GF01004929S	soil	33.2935	115.507	Asia	2015	2015	cropland	ITS3/ITS4	15.6	849	8.1	7.2	51757	0	31
31970	345	GF04019958S	soil	33.2935	115.507	Asia	2015	2015	cropland	ITS3/ITS4	15.6	849	8.1	7.2	51757	0	31
31971	663	GF01018369S	rhizosphere soil	55.2569	11.4461	Europe	2010	2010	cropland	ITS1F/58A2R	8.7	583	6.6	16.4	5390	0	1
